name,price,tax,image_url,tags
GREEN LEAF LETTUCE,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/230084000000_s.jpg,PERISHABLE 冷蔵
LIMESTONE / BOSTON / BUTTER LETTUCE,198,¥198（8%tax）,https://www.national-azabu.net/upload/save_image/4580119390576_s.jpg,PERISHABLE 冷蔵
KOREAN LETTUCE,298,¥298（8%tax）,https://www.national-azabu.net/upload/save_image/4967849351280_s.jpg,PERISHABLE 冷蔵
SARA TRIO LETTUCE,348,¥348（8%tax）,https://www.national-azabu.net/upload/save_image/1207115935_61aece17a44bc.jpeg,PERISHABLE 冷蔵
FRILL LETTUCE,298,¥298（8%tax）,https://www.national-azabu.net/upload/save_image/4589895400011_s.jpg,PERISHABLE 冷蔵
PLEATED LETTUCE,298,¥298（8%tax）,https://www.national-azabu.net/upload/save_image/4589895400028_s.jpg,PERISHABLE 冷蔵
KALE,348,¥348（8%tax）,https://www.national-azabu.net/upload/save_image/4571108360335_s.jpg,PERISHABLE 冷蔵
CURLY KALE,298,¥298（8%tax）,https://www.national-azabu.net/upload/save_image/4571108360342_s.jpg,PERISHABLE 冷蔵
ORGANIC BABY LEAF,498,¥498（8%tax）,https://www.national-azabu.net/upload/save_image/0822112137_66c6a0b189529.jpeg,ORGANICPERISHABLE 冷蔵
SUPER CLEAN LEAF KALE MIX,698,¥698（8%tax）,https://www.national-azabu.net/upload/save_image/0708173401_62c7ebf97bf40.jpeg,KOSHERPERISHABLE 冷蔵
SUPER CLEAN LEAF 100% ROCKET,698,¥698（8%tax）,https://www.national-azabu.net/upload/save_image/0708173255_62c7ebb766e91.jpeg,KOSHERPERISHABLE 冷蔵
SUPER CLEAN LEAF RED MIX,698,¥698（8%tax）,https://www.national-azabu.net/upload/save_image/0708173520_62c7ec48f0cf3.jpeg,KOSHERPERISHABLE 冷蔵
SUPER CLEAN LEAF COLORFUL MIX,698,¥698（8%tax）,https://www.national-azabu.net/upload/save_image/0708173631_62c7ec8f540b9.jpeg,PERISHABLE 冷蔵KOSHER
CHICORY / ENDIVE　1 PC,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/0619121614_5eec2dfeb6506.jpeg,PERISHABLE 冷蔵
TREVIS / RADICCHIO ROSSO,598,¥598（8%tax）,https://www.national-azabu.net/upload/save_image/230135000000_s.jpg,PERISHABLE 冷蔵
ITALIAN PARSLEY,238,¥238（8%tax）,https://www.national-azabu.net/upload/save_image/4589665220030_s.jpg,PERISHABLE 冷蔵
ITALIAN PARSLEY BIG,579,¥579（8%tax）,https://www.national-azabu.net/upload/save_image/4589665220078_s.jpg,PERISHABLE 冷蔵
THYMES,238,¥238（8%tax）,https://www.national-azabu.net/upload/save_image/0712125129_5f0a88c1a3c00.jpeg,PERISHABLE 冷蔵
ROSEMARY,238,¥238（8%tax）,https://www.national-azabu.net/upload/save_image/0621155653_5eef04b5e9a06.jpeg,PERISHABLE 冷蔵
DILL,238,¥238（8%tax）,https://www.national-azabu.net/upload/save_image/0621155632_5eef04a01bb79.jpeg,PERISHABLE 冷蔵
ORGANIC ARUGULA SELVATICA,498,¥498（8%tax）,https://www.national-azabu.net/upload/save_image/4589712330095_s.jpg,PERISHABLE 冷蔵ORGANIC
BAY LEAF,238,¥238（8%tax）,https://www.national-azabu.net/upload/save_image/4520337600255_s.jpg,PERISHABLE 冷蔵
LEMON GRASS LEAF,238,¥238（8%tax）,https://www.national-azabu.net/upload/save_image/4996369050021_s.jpg,PERISHABLE 冷蔵
LIME LEAF / BAI MAKRUD,579,¥579（8%tax）,https://www.national-azabu.net/upload/save_image/4516891110033_s.jpg,PERISHABLE 冷蔵
GALANGAL / KHA,450,¥450（8%tax）,https://www.national-azabu.net/upload/save_image/4516891110040_s.jpg,PERISHABLE 冷蔵
LEMONGRASS / TAKRAI,450,¥450（8%tax）,https://www.national-azabu.net/upload/save_image/4516891110057_s.jpg,PERISHABLE 冷蔵
RED SCALLIONS / HOM DAENG,450,¥450（8%tax）,https://www.national-azabu.net/upload/save_image/4516891110132_s.jpg,PERISHABLE 冷蔵
BANANA LEAF / BAI TONG,450,¥450（8%tax）,https://www.national-azabu.net/upload/save_image/4516891110262_s.jpg,PERISHABLE 冷蔵
PANDANUS LEAF / BAI TOEY,550,¥550（8%tax）,https://www.national-azabu.net/upload/save_image/4516891110279_s.jpg,PERISHABLE 冷蔵
TOM YUM VEGETABLE SET / CHUD TOM YAM,698,¥698（8%tax）,https://www.national-azabu.net/upload/save_image/4516891120483_s.jpg,PERISHABLE 冷蔵
ORGANIC KOMATSUNA,348,¥348（8%tax）,https://www.national-azabu.net/upload/save_image/4571266680023_s.jpg,ORGANICPERISHABLE 冷蔵
SPINACH,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/0128143726_60124d964b6e4.jpeg,PERISHABLE 冷蔵
ORGANIC MIZUNA,298,¥298（8%tax）,https://www.national-azabu.net/upload/save_image/4571266680030_s.jpg,ORGANICPERISHABLE 冷蔵
CHINGENSAI / BOK-CHOY,298,¥298（8%tax）,https://www.national-azabu.net/upload/save_image/4908460000034_s.jpg,PERISHABLE 冷蔵
ORGANIC CHINGENSAI ( BABY BOK CHOY ),328,¥328（8%tax）,https://www.national-azabu.net/upload/save_image/4571266680061_s.jpg,ORGANICPERISHABLE 冷蔵
NAGANEGI 2PCS ( NEGIOU ),298,¥298（8%tax）,https://www.national-azabu.net/upload/save_image/1005141216_5f7aab30a7a41.jpeg,PERISHABLE 冷蔵
BANNOUNEGI / SPRING ONION,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/4580119390019_s.jpg,PERISHABLE 冷蔵
LEEK,"1,490","¥1,490（8%tax）",https://www.national-azabu.net/upload/save_image/230078000000_s.jpg,PERISHABLE 冷蔵
CHINESE CHIVES,198,¥198（8%tax）,https://www.national-azabu.net/upload/save_image/4990603199033_s.jpg,PERISHABLE 冷蔵
BITTER MELON,298,¥298（8%tax）,https://www.national-azabu.net/upload/save_image/0821133644_5f3f4f5c391d1.jpeg,PERISHABLE 冷蔵
EGGPLANT,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/0928151128_5f717e90aef62.jpeg,PERISHABLE 冷蔵
LONG EGGPLANT,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/1005132958_5f7aa146d8bb9.jpeg,PERISHABLE 冷蔵
AMERICAN EGGPLANT,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/230057000000_s.jpg,PERISHABLE 冷蔵
TOMATOES M 2PCS,358,¥358（8%tax）,https://www.national-azabu.net/upload/save_image/230158000000_s.jpg,PERISHABLE 冷蔵
RED BELL PEPPER / PAPRIKA,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/0216142137_620c89e115c68.jpeg,PERISHABLE 冷蔵
YELLOW BELL PEPPER / PAPRIKA,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/0216142100_620c89bc333c8.jpeg,PERISHABLE 冷蔵
RED SWEET PEPPERS,258,¥258（8%tax）,https://www.national-azabu.net/upload/save_image/230132000000_s.jpg,PERISHABLE 冷蔵
SWEET GREEN PEPPERS,198,¥198（8%tax）,https://www.national-azabu.net/upload/save_image/0329132320_60615638a4f11.jpeg,PERISHABLE 冷蔵
JALAPENO PEPPERS,498,¥498（8%tax）,https://www.national-azabu.net/upload/save_image/230128000000_s.jpg,PERISHABLE 冷蔵
GREEN HOT PEPPERS,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/230072000000_s.jpg,PERISHABLE 冷蔵
ORGANIC BEAN SPROUTS,78,¥78（8%tax）,https://www.national-azabu.net/upload/save_image/4904123004388_s.jpg,PERISHABLE 冷蔵ORGANIC
ORGANIC SOY BEAN SPROUTS,88,¥88（8%tax）,https://www.national-azabu.net/upload/save_image/4904123500088_s.jpg,ORGANICPERISHABLE 冷蔵
ORGANIC RADISH SPROUTS,98,¥98（8%tax）,https://www.national-azabu.net/upload/save_image/0919115224_6327d968d470f.jpeg,PERISHABLE 冷蔵ORGANIC
ORGANIC PEA SPROUTS,138,¥138（8%tax）,https://www.national-azabu.net/upload/save_image/4904123500361_s.jpg,ORGANICPERISHABLE 冷蔵
BROWN MUSHROOMS,498,¥498（8%tax）,https://www.national-azabu.net/upload/save_image/28_s.jpg,PERISHABLE 冷蔵
WHITE MUSHROOMS,498,¥498（8%tax）,https://www.national-azabu.net/upload/save_image/4948164000015_s.jpg,PERISHABLE 冷蔵
SHIITAKE MUSHROOMS,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/1005141301_5f7aab5d0cb17.jpeg,PERISHABLE 冷蔵
MAITAKE MUSHROOMS,250,¥250（8%tax）,https://www.national-azabu.net/upload/save_image/4979754554281_s.jpg,PERISHABLE 冷蔵
ENOKI MUSHROOMS,150,¥150（8%tax）,https://www.national-azabu.net/upload/save_image/0617161117_5ee9c215cb9f1.jpeg,PERISHABLE 冷蔵
ERINGI MUSHROOMS,150,¥150（8%tax）,https://www.national-azabu.net/upload/save_image/4985761951401_s.jpg,PERISHABLE 冷蔵
SHIMEJI MUSHROOM,198,¥198（8%tax）,https://www.national-azabu.net/upload/save_image/0308124317_60459d55dd7af.jpeg,PERISHABLE 冷蔵
NAMEKO MUSHROOMS,100,¥100（8%tax）,https://www.national-azabu.net/upload/save_image/4992581011109_s.jpg,PERISHABLE 冷蔵
GREEN ASPARAGUS,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/0315183957_62305eed2a5c9.jpeg,PERISHABLE 冷蔵
GARLIC　1PC,298,¥298（8%tax）,https://www.national-azabu.net/upload/save_image/4580493560015_s.jpg,
WATERCRESS,158,¥158（8%tax）,https://www.national-azabu.net/upload/save_image/62_s.jpg,PERISHABLE 冷蔵
SNOW PEAS,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/0712184259_5f0adb2317354.jpeg,PERISHABLE 冷蔵
GREEN BEANS,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/0702112633_62bfacd92baa8.jpeg,PERISHABLE 冷蔵
GREEN BEANS BIG PACK,498,¥498（8%tax）,https://www.national-azabu.net/upload/save_image/0702112542_62bfaca68717e.jpeg,PERISHABLE 冷蔵
LOTUS / RENKON,498,¥498（8%tax）,https://www.national-azabu.net/upload/save_image/230205000000_s.jpg,PERISHABLE 冷蔵
ORGANIC LOTUS ROOT 300g,698,¥698（8%tax）,https://www.national-azabu.net/upload/save_image/1005141322_5f7aab72be555.jpeg,ORGANIC
BURDOCK,348,¥348（8%tax）,https://www.national-azabu.net/upload/save_image/4908860200027_s.jpg,PERISHABLE 冷蔵
BEET,686,¥686（8%tax）,https://www.national-azabu.net/upload/save_image/230024000000_s.jpg,PERISHABLE 冷蔵
GREEN PERILLA / SHISO,100,¥100（8%tax）,https://www.national-azabu.net/upload/save_image/230234000000_s.jpg,PERISHABLE 冷蔵
GINGER ROOT,198,¥198（8%tax）,https://www.national-azabu.net/upload/save_image/4518411000046_s.jpg,PERISHABLE 冷蔵
ORGANIC GINGER,398,¥398（8%tax）,https://www.national-azabu.net/upload/save_image/1013180829_6166a20db66d5.jpeg,PERISHABLE 冷蔵ORGANIC
OKRA,198,(Tax ¥14)※,https://www.national-azabu.net/upload/save_image/0206144844_601e2dbc286d2.jpeg,PERISHABLE 冷蔵
MYOGA,198,¥198（8%tax）,https://www.national-azabu.net/upload/save_image/4908735376048_s.jpg,PERISHABLE 冷蔵
BABY CORN,230,¥230（8%tax）,https://www.national-azabu.net/upload/save_image/4580506180018_s.jpg,PERISHABLE 冷蔵
BABY CARROTS,298,¥298（8%tax）,https://www.national-azabu.net/upload/save_image/4994865922507_s.jpg,PERISHABLE 冷蔵
BOILED BAMBOO SHOOT  WHOLE,980,¥980（8%tax）,https://www.national-azabu.net/upload/save_image/1227165628_5fe83e2c241e6.jpeg,
BOILED BAMBOO SHOOT  CUT,598,¥598（8%tax）,https://www.national-azabu.net/upload/save_image/1227165628_5fe83e2c2c146.jpeg,
WOOD EAR MUSHROOMS / KIKURAGE,348,¥348（8%tax）,https://www.national-azabu.net/upload/save_image/0819160729_5f3ccfb180761.jpeg,PERISHABLE 冷蔵
ONION 1PC,198,¥198（8%tax）,https://www.national-azabu.net/upload/save_image/0615104007_648a6bf7c218d.jpeg,
ONIONS 3P ( AMA AMA ),498,¥498（8%tax）,https://www.national-azabu.net/upload/save_image/0614105934_666ba4064d271.jpeg,
BABY ONIONS,358,¥358（8%tax）,https://www.national-azabu.net/upload/save_image/230300000000_s.jpg,
SHALLOT ONIONS,474,¥474（8%tax）,https://www.national-azabu.net/upload/save_image/0712130538_5f0a8c124c060.jpeg,
RED ONION 1PC,158,¥158（8%tax）,https://www.national-azabu.net/upload/save_image/44_s.jpg,
NARUTO KINTOKI SWEET POTATOES,245,¥245（8%tax）,https://www.national-azabu.net/upload/save_image/0819155007_5f3ccb9fd66c7.jpeg,
NAGAIMO,324,¥324（8%tax）,https://www.national-azabu.net/upload/save_image/230298000000_s.jpg,PERISHABLE 冷蔵
YAMATOIMO,632,¥632（8%tax）,https://www.national-azabu.net/upload/save_image/230329000000_s.jpg,PERISHABLE 冷蔵
SATOIMO,590,¥590（8%tax）,https://www.national-azabu.net/upload/save_image/0712130523_5f0a8c03e484f.jpeg,
BABY POTATOES,298,¥298（8%tax）,https://www.national-azabu.net/upload/save_image/230312000000_s.jpg,
POTATOES BIG PACK,698,¥698（8%tax）,https://www.national-azabu.net/upload/save_image/0822114852_66c6a714ea968.jpeg,
